path,label,split,status,removal_reason
backward/0165e0e8_nohash_0.wav,backward,training,remove,abrupt_end_after_speech
backward/017c4098_nohash_0.wav,backward,training,keep,usable
backward/017c4098_nohash_1.wav,backward,training,keep,usable
backward/017c4098_nohash_2.wav,backward,training,keep,usable
backward/017c4098_nohash_3.wav,backward,training,keep,usable
backward/017c4098_nohash_4.wav,backward,training,keep,usable
backward/02ade946_nohash_0.wav,backward,training,keep,usable
backward/02ade946_nohash_1.wav,backward,training,keep,usable
backward/02ade946_nohash_2.wav,backward,training,keep,usable
backward/02ade946_nohash_3.wav,backward,training,keep,usable
backward/02ade946_nohash_4.wav,backward,training,keep,usable
backward/03401e93_nohash_0.wav,backward,testing,keep,usable
backward/03401e93_nohash_1.wav,backward,testing,remove,abrupt_end_after_speech
backward/042a8dde_nohash_0.wav,backward,training,remove,abrupt_end_after_speech
backward/042a8dde_nohash_1.wav,backward,training,keep,usable
backward/042a8dde_nohash_2.wav,backward,training,keep,usable
backward/042a8dde_nohash_3.wav,backward,training,remove,abrupt_end_after_speech
backward/050170cb_nohash_0.wav,backward,training,keep,usable
backward/050170cb_nohash_1.wav,backward,training,keep,usable
backward/050170cb_nohash_2.wav,backward,training,keep,usable
backward/050170cb_nohash_3.wav,backward,training,keep,usable
backward/050170cb_nohash_4.wav,backward,training,keep,usable
backward/0585b66d_nohash_0.wav,backward,training,keep,usable
backward/0585b66d_nohash_1.wav,backward,training,keep,usable
backward/0585b66d_nohash_2.wav,backward,training,keep,usable
backward/0585b66d_nohash_3.wav,backward,training,keep,usable
backward/0585b66d_nohash_4.wav,backward,training,remove,abrupt_end_after_speech
backward/067f61e2_nohash_0.wav,backward,validation,keep,usable
backward/067f61e2_nohash_1.wav,backward,validation,remove,abrupt_end_after_speech
backward/067f61e2_nohash_2.wav,backward,validation,keep,usable
backward/067f61e2_nohash_3.wav,backward,validation,keep,usable
backward/067f61e2_nohash_4.wav,backward,validation,keep,usable
backward/06f6c194_nohash_0.wav,backward,training,keep,usable
backward/06f6c194_nohash_1.wav,backward,training,keep,usable
backward/06f6c194_nohash_2.wav,backward,training,keep,usable
backward/06f6c194_nohash_3.wav,backward,training,keep,usable
backward/06f6c194_nohash_4.wav,backward,training,keep,usable
backward/08ab231c_nohash_0.wav,backward,training,keep,usable
backward/08ab231c_nohash_1.wav,backward,training,keep,usable
backward/08ab231c_nohash_2.wav,backward,training,keep,usable
backward/08ab231c_nohash_3.wav,backward,training,keep,usable
backward/08ab231c_nohash_4.wav,backward,training,keep,usable
